System,Scheme,Age,Benefits,Link
Ayurvedha,National Ayush Mission,All,Promotes AYUSH systems in healthcare,https://ayush.gov.in/
Ayurvedha,AYUSH for Immunity,All,Enhances immunity through traditional methods,https://nhm.gov.in/
Ayurvedha,Public Health Initiatives,All,Focus on preventive healthcare,https://www.india.gov.in/scheme-public-health-initiatives-scheme-ayush
Ayurvedha,National Ayush Mission Introduction,All,Community Health Initiatives,https://namayush.gov.in/content/introduction
Ayurvedha,Pradhan Mantri Jan Arogya Yojana,All,Health Insurance for the poor,https://pmjay.gov.in/
Ayurvedha,Ayushman Bharat,All,Health coverage for underprivileged families,https://pmjay.gov.in/
Ayurvedha,National Health Mission,All,Strengthening healthcare delivery,https://nhm.gov.in/
Yoga,Fit India Movement,All,Encourages physical fitness and wellness,https://ayush.mp.gov.in/index.php/en/about-us/schemes
Unani,Central Council for Research in Unani,All,Research and development in Unani practices,https://nam.kerala.gov.in/
Unani,Unani Health and Wellnes,All,Promotes wellness through Unani practices,https://www.unanihealth.org/
Siddha,Siddha Medicine research,All,Focus on traditional healing methods,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=124636
Siddha,Siddha for Rural Health,All,Enhances rural healthcare with Siddha methods,https://siddharuralhealth.gov.in/
Homeopathy,Homeopathic Treatment Guidelines,All,Individualized treatment plans,https://www.homeopathy.gov.in/
Homeopathy,National Homeopathy Research Institute,All,Promotes research and education in homeopathy,https://nhri.gov.in/
Homeopathy,Homeopathy for all,All,Accessible homeopathic for all,https://www.homeopathyforall.gov.in/
Homeopathy,National Health Policy,All,Integrates homeopathy into mainstream healthcare,https://www.nhp.gov.in/
